date,socmed,mean_cases,mean_deaths,mean_vaxxed,mean_dose1,mean_cases_adj,mean_deaths_adj,mean_compvax_adj,mean_dose1_adj
2020-02-01,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-01,Facebook but no Twitter,1,0,0,0,1.204249072427152e-6,0,0,0
2020-02-02,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-02,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-02,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-02,Facebook but no Twitter,1,0,0,0,1.204249072427152e-6,0,0,0
2020-02-03,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-03,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-03,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-03,Facebook but no Twitter,1,0,0,0,1.204249072427152e-6,0,0,0
2020-02-04,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-04,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-04,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-04,Facebook but no Twitter,1,0,0,0,1.204249072427152e-6,0,0,0
2020-02-05,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-05,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-05,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-05,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-06,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-06,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-06,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-06,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-07,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-07,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-07,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-07,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-08,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-08,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
