fips,STNAME,population
05007,Arkansas,288774
05009,Arkansas,37625
05011,Arkansas,10639
05013,Arkansas,5113
05015,Arkansas,28276
05017,Arkansas,9924
05019,Arkansas,22103
05021,Arkansas,14375
05023,Arkansas,24935
05025,Arkansas,7957
05027,Arkansas,23331
05029,Arkansas,21037
05031,Arkansas,112245
05033,Arkansas,63409
05035,Arkansas,47616
05037,Arkansas,16142
05039,Arkansas,6802
05041,Arkansas,11110
05043,Arkansas,17977
05045,Arkansas,126919
05047,Arkansas,17897
05049,Arkansas,12381
05051,Arkansas,99789
05053,Arkansas,18449
05055,Arkansas,45597
05057,Arkansas,21253
05059,Arkansas,33787
05061,Arkansas,13109
05063,Arkansas,37757
05065,Arkansas,13613
05067,Arkansas,16636
05069,Arkansas,65377
05071,Arkansas,26513
05073,Arkansas,6596
05075,Arkansas,16410
05077,Arkansas,8513
05079,Arkansas,12944
05081,Arkansas,12180
05083,Arkansas,21410
05085,Arkansas,73921
05087,Arkansas,16644
05089,Arkansas,16790
05091,Arkansas,43177
05093,Arkansas,40066
05095,Arkansas,6584
05097,Arkansas,9006
05099,Arkansas,8099
05101,Arkansas,7602
05103,Arkansas,23167
05105,Arkansas,10327
05107,Arkansas,17299
05109,Arkansas,10643
05111,Arkansas,23283
05113,Arkansas,19707
05115,Arkansas,64334
05117,Arkansas,7966
05119,Arkansas,392980
05121,Arkansas,18247
05123,Arkansas,24682
05125,Arkansas,123968
05127,Arkansas,10164
05129,Arkansas,7842
05131,Arkansas,127590
05133,Arkansas,16702
05135,Arkansas,17424
05137,Arkansas,12674
05139,Arkansas,38219
05141,Arkansas,16541
05143,Arkansas,243216
05145,Arkansas,78729
05147,Arkansas,6264
05149,Arkansas,21181
06001,California,1662323
06003,California,1119
06005,California,40083
06007,California,212744
06009,California,46308
06011,California,21558
06013,California,1152333
06015,California,27968
06017,California,192925
06019,California,1000918
06021,California,28283
06023,California,134977
06025,California,180267
06027,California,18046
06029,California,901362
06031,California,152692
06033,California,64479
06035,California,30016
06037,California,9943046
06039,California,157761
06041,California,257332
06043,California,17160
06045,California,86061
06047,California,279252
06049,California,8763
06051,California,14534
06053,California,430906
06055,California,135965
06057,California,99606
06059,California,3166857
06061,California,402950
06063,California,18967
06065,California,2489188
06067,California,1559146
06069,California,64055
06071,California,2189183
06073,California,3332427
06075,California,866606
06077,California,767967
06079,California,282249
06081,California,758308
06083,California,444766
06085,California,1907105
06087,California,269925
06089,California,179027
06091,California,2920
06093,California,43245
06095,California,446935
06097,California,489819
06099,California,550081
06101,California,96385
06103,California,64494
06105,California,12216
06107,California,468680
06109,California,54515
06111,California,841387
06113,California,219728
06115,California,80160
08001,Colorado,519883
08003,Colorado,16180
08005,Colorado,657452
08007,Colorado,14196
08009,Colorado,3555
08011,Colorado,5356
08013,Colorado,327171
08014,Colorado,72236
08015,Colorado,20661
08017,Colorado,1795
08019,Colorado,9586
08021,Colorado,8143
08023,Colorado,3921
08025,Colorado,5696
08027,Colorado,5183
08029,Colorado,31067
08031,Colorado,735538
08033,Colorado,2096
08035,Colorado,360750
08037,Colorado,54929
08039,Colorado,27313
08041,Colorado,728310
08043,Colorado,47867
08045,Colorado,60366
08047,Colorado,6235
08049,Colorado,15794
08051,Colorado,17593
08053,Colorado,808
08055,Colorado,6883
08057,Colorado,1389
08059,Colorado,583283
08061,Colorado,1458
08063,Colorado,7121
08065,Colorado,7987
08067,Colorado,56564
08069,Colorado,360428
08071,Colorado,14420
08073,Colorado,5680
08075,Colorado,21974
08077,Colorado,155603
08079,Colorado,773
08081,Colorado,13144
08083,Colorado,26408
08085,Colorado,43322
08087,Colorado,28941
08089,Colorado,18201
08091,Colorado,5001
08093,Colorado,18955
08095,Colorado,4367
08097,Colorado,17894
08099,Colorado,12106
08101,Colorado,169823
08103,Colorado,6342
08105,Colorado,11296
08107,Colorado,25560
08109,Colorado,6938
08111,Colorado,748
08113,Colorado,8105
08115,Colorado,2260
08117,Colorado,30631
08119,Colorado,25529
08121,Colorado,4875
08123,Colorado,333983
08125,Colorado,10047
09001,Connecticut,942426
09003,Connecticut,889226
09005,Connecticut,179610
09007,Connecticut,161657
09009,Connecticut,851948
09011,Connecticut,264999
09013,Connecticut,150600
09015,Connecticut,116540
10001,Delaware,183643
10003,Delaware,561531
10005,Delaware,241635
11001,District of Columbia,712816
12001,Florida,271218
12003,Florida,29566
12005,Florida,171322
12007,Florida,28593
12009,Florida,608459
